gx,gz,nodata_count,inner_samples,nodata_pct,valid_min_m,valid_max_m,valid_mean_m,nearby_valid_mean_m
-100,159,2874,4096,70.17,-1.6,-1.6,-1.6,-1.6
-101,159,1024,4096,25.0,-1.6,-1.6,-1.6,-1.6
-101,160,4011,4096,97.92,-1.6,-1.6,-1.6,-1.6
-102,160,1433,4096,34.99,-1.6,-1.6,-1.6,-1.6
-102,161,4063,4096,99.19,-1.6,-1.6,-1.6,-1.6
-103,130,20,4096,0.49,8.0,14.0,12.17,13.52
-103,161,1737,4096,42.41,-1.6,-1.6,-1.6,-1.6
-103,162,4093,4096,99.93,-1.6,-1.6,-1.6,-1.6
-104,162,2067,4096,50.46,-1.6,-1.6,-1.6,-1.6
-105,162,20,4096,0.49,-1.6,-1.6,-1.6,-1.6
-105,163,3279,4096,80.05,-1.6,-1.6,-1.6,-1.6
-106,163,1103,4096,26.93,-1.6,-1.6,-1.6,-1.6
-107,164,3470,4096,84.72,-1.6,-1.6,-1.6,-1.6
-108,130,24,4096,0.59,4.6,11.5,6.65,8.15
-108,164,3649,4096,89.09,-1.6,-1.6,-1.6,-1.6
-109,164,2482,4096,60.6,-1.6,-1.6,-1.6,-1.6
-10,51,25,4096,0.61,-1.6,3.0,-0.23,0.17
-110,130,47,4096,1.15,4.6,8.7,6.04,6.53
-110,164,228,4096,5.57,-1.6,-1.6,-1.6,-1.6
-110,165,3415,4096,83.37,-1.6,-1.6,-1.6,-1.6
-111,165,715,4096,17.46,-1.6,-1.6,-1.6,-1.6
-111,166,3954,4096,96.53,-1.6,-1.6,-1.6,-1.6
-112,166,1819,4096,44.41,-1.6,-1.6,-1.6,-1.6
-113,166,1348,4096,32.91,-1.6,-1.6,-1.6,-1.6
-114,166,2104,4096,51.37,-1.6,-1.6,-1.6,-1.6
-115,166,2773,4096,67.7,-1.6,-1.6,-1.6,-1.6
-116,166,1145,4096,27.95,-1.6,-1.6,-1.6,-1.6
-118,167,79,4096,1.93,-1.6,-1.6,-1.6,-1.6
-118,168,2654,4096,64.79,-1.6,-1.6,-1.6,-1.6
-119,168,15,4096,0.37,-1.6,-1.6,-1.6,-1.6
-119,169,2063,4096,50.37,-1.6,-1.6,-1.6,-1.6
-119,170,4085,4096,99.73,-1.6,-1.6,-1.6,-1.6
-120,170,1476,4096,36.04,-1.6,-1.6,-1.6,-1.6
-121,171,737,4096,17.99,-1.6,-1.6,-1.6,-1.6
-121,172,2880,4096,70.31,-1.6,-1.6,-1.6,-1.6
-128,130,13,4096,0.32,6.5,14.1,10.87,10.33
-129,173,2370,4096,57.86,-1.6,-1.6,-1.6,-1.6
-130,173,2846,4096,69.48,-1.6,-1.6,-1.6,-1.6
-131,173,2698,4096,65.87,-1.6,-1.6,-1.6,-1.6
-132,173,1413,4096,34.5,-1.6,-1.6,-1.6,-1.6
-133,173,217,4096,5.3,-1.6,-1.6,-1.6,-1.6
-135,130,20,4096,0.49,-0.5,7.3,2.75,0.92
-135,177,169,4096,4.13,-1.6,-1.6,-1.6,-1.6
-13,51,37,4096,0.9,-1.6,-1.6,-1.6,-1.6
-146,182,250,4096,6.1,-1.6,-1.6,-1.6,-1.6
-147,182,861,4096,21.02,-1.6,-1.6,-1.6,-1.6
-148,182,65,4096,1.59,-1.6,-1.6,-1.6,-1.6
-148,183,3837,4096,93.68,-1.6,-1.6,-1.6,-1.6
-149,183,2819,4096,68.82,-1.6,-1.6,-1.6,-1.6
-150,183,1903,4096,46.46,-1.6,-1.6,-1.6,-1.6
-151,183,612,4096,14.94,-1.6,-1.6,-1.6,-1.6
-151,184,3803,4096,92.85,-1.6,-1.6,-1.6,-1.6
-152,184,737,4096,17.99,-1.6,-1.6,-1.6,-1.6
-152,185,3725,4096,90.94,-1.6,-1.6,-1.6,-1.6
-153,185,686,4096,16.75,-1.6,-1.6,-1.6,-1.6
-1,108,633,4096,15.45,-1.6,-1.6,-1.6,-1.6
-21,1,95,4096,2.32,-1.6,-1.6,-1.6,-1.6
-22,1,3580,4096,87.4,-1.6,-1.6,-1.6,-1.6
-22,2,1591,4096,38.84,-1.6,-1.6,-1.6,-1.6
-22,3,72,4096,1.76,-1.6,-1.6,-1.6,-1.6
-23,3,3530,4096,86.18,-1.6,-1.6,-1.6,-1.6
-23,4,1522,4096,37.16,-1.6,-1.6,-1.6,-1.6
-23,5,53,4096,1.29,-1.6,-1.6,-1.6,-1.6
-24,5,3480,4096,84.96,-1.6,-1.6,-1.6,-1.6
-24,6,1451,4096,35.42,-1.6,-1.6,-1.6,-1.6
-24,7,42,4096,1.03,-1.6,-1.6,-1.6,-1.6
-26,10,1318,4096,32.18,-1.6,-1.6,-1.6,-1.6
-26,11,20,4096,0.49,-1.6,-1.6,-1.6,-1.6
-27,94,46,4096,1.12,-1.6,-1.6,-1.6,-1.6
-2,108,3279,4096,80.05,-1.6,-1.6,-1.6,-1.6
-2,109,89,4096,2.17,-1.6,-1.6,-1.6,-1.6
-2,117,335,4096,8.18,-1.6,-1.6,-1.6,-1.6
-3,109,2472,4096,60.35,-1.6,-1.6,-1.6,-1.6
-3,110,761,4096,18.58,-1.6,-1.6,-1.6,-1.6
-3,111,318,4096,7.76,-1.6,-1.6,-1.6,-1.6
-3,112,9,4096,0.22,-1.6,-1.6,-1.6,-1.6
-3,115,638,4096,15.58,-1.6,-1.6,-1.6,-1.6
-3,116,2453,4096,59.89,-1.6,-1.6,-1.6,-1.6
-42,113,36,4096,0.88,-1.6,-1.6,-1.6,-1.6
-54,127,470,4096,11.47,-1.6,-1.6,-1.6,-1.6
-58,51,19,4096,0.46,-1.3,-1.3,-1.3,-1.3
-59,131,26,4096,0.63,-1.6,-1.6,-1.6,-1.6
-62,131,24,4096,0.59,0.4,4.0,1.93,1.3
-65,131,20,4096,0.49,0.7,1.5,0.77,0.76
-67,139,1213,4096,29.61,-1.6,-1.6,-1.6,-1.6
-74,144,1486,4096,36.28,-1.6,-1.6,-1.6,-1.6
-78,149,54,4096,1.32,-1.6,-1.6,-1.6,-1.6
-78,150,1674,4096,40.87,-1.6,-1.6,-1.6,-1.6
-7,92,18,4096,0.44,-1.6,-1.6,-1.6,-1.6
-90,152,1772,4096,43.26,-1.6,-1.6,-1.6,-1.6
-91,152,1939,4096,47.34,-1.6,-1.6,-1.6,-1.6
-92,152,87,4096,2.12,-1.6,-1.6,-1.6,-1.6
-92,153,2842,4096,69.38,-1.6,-1.6,-1.6,-1.6
-93,153,87,4096,2.12,-1.6,-1.6,-1.6,-1.6
-93,154,2278,4096,55.62,-1.6,-1.6,-1.6,-1.6
-93,155,4084,4096,99.71,-1.6,-1.6,-1.6,-1.6
-94,155,1287,4096,31.42,-1.6,-1.6,-1.6,-1.6
-95,156,1078,4096,26.32,-1.6,-1.6,-1.6,-1.6
-95,157,4071,4096,99.39,-1.6,-1.6,-1.6,-1.6
-96,157,2304,4096,56.25,-1.6,-1.6,-1.6,-1.6
-97,157,137,4096,3.34,-1.6,-1.6,-1.6,-1.6
-97,158,3445,4096,84.11,-1.6,-1.6,-1.6,-1.6
-98,158,1666,4096,40.67,-1.6,-1.6,-1.6,-1.6
-99,158,309,4096,7.54,-1.6,-1.6,-1.6,-1.6
-99,159,4009,4096,97.88,-1.6,-1.6,-1.6,-1.6
100,-177,638,4096,15.58,44.6,48.5,46.5,46.4
100,124,2372,4096,57.91,-1.6,-1.6,-1.6,-1.6
101,-177,1024,4096,25.0,25.4,47.6,37.4,37.05
101,-178,3832,4096,93.55,29.4,29.4,29.4,29.4
101,124,3419,4096,83.47,-1.6,-1.6,-1.6,-1.6
102,-178,1740,4096,42.48,20.0,29.7,26.85,24.84
102,-179,4095,4096,99.98,20.3,20.5,20.38,20.35
102,123,431,4096,10.52,-1.6,-1.6,-1.6,-1.6
102,124,4087,4096,99.78,-1.6,-1.6,-1.6,-1.6
103,-179,444,4096,10.84,20.0,23.7,22.66,22.22
103,-180,1916,4096,46.78,21.3,25.8,22.96,23.13
103,-181,3686,4096,89.99,21.7,22.7,22.2,22.21
103,123,2652,4096,64.75,-1.6,-1.6,-1.6,-1.6
104,-181,144,4096,3.52,20.5,23.6,22.33,22.46
104,-182,1148,4096,28.03,23.3,23.6,23.45,23.45
104,-183,3580,4096,87.4,23.3,23.9,23.59,23.58
104,122,1075,4096,26.25,-1.6,-1.6,-1.6,-1.6
104,123,4095,4096,99.98,-1.6,-1.6,-1.6,-1.6
105,-183,197,4096,4.81,21.1,24.4,23.79,23.14
105,-184,2555,4096,62.38,23.6,24.6,24.36,24.37
105,121,16,4096,0.39,-1.6,-1.6,-1.6,-1.6
105,122,3250,4096,79.35,-1.6,-1.6,-1.6,-1.6
106,-184,510,4096,12.45,20.7,24.7,22.86,23.13
106,121,1351,4096,32.98,-1.6,-1.6,-1.6,-1.6
107,-184,56,4096,1.37,18.5,27.5,25.19,25.47
107,-185,2941,4096,71.8,22.1,27.7,24.79,24.75
107,120,65,4096,1.59,-1.6,-1.6,-1.6,-1.6
107,121,3470,4096,84.72,-1.6,-1.6,-1.6,-1.6
108,-185,212,4096,5.18,22.1,25.8,23.4,23.48
108,-186,3338,4096,81.49,23.4,27.9,25.66,25.71
108,120,1627,4096,39.72,-1.6,-1.6,-1.6,-1.6
109,-182,243,4096,5.93,31.1,43.0,38.12,38.94
109,-183,381,4096,9.3,28.2,34.5,30.52,30.45
109,-186,444,4096,10.84,25.8,32.2,28.86,28.52
109,119,134,4096,3.27,-1.6,-1.6,-1.6,-1.6
109,120,3644,4096,88.96,-1.6,-1.6,-1.6,-1.6
10,-29,26,4096,0.63,4.2,9.7,8.49,8.23
110,-182,2157,4096,52.66,39.4,49.8,45.12,44.37
110,-183,3818,4096,93.21,29.6,32.5,30.77,30.94
110,-184,1582,4096,38.62,30.8,38.4,34.59,35.39
110,-185,14,4096,0.34,30.4,40.5,37.26,37.63
110,119,1827,4096,44.6,-1.6,-1.6,-1.6,-1.6
111,-181,271,4096,6.62,49.5,53.4,51.17,51.19
111,-182,3887,4096,94.9,47.6,51.4,50.15,50.27
111,118,228,4096,5.57,-1.6,-1.6,-1.6,-1.6
111,119,3763,4096,91.87,-1.6,-1.6,-1.6,-1.6
112,-181,2149,4096,52.47,40.7,50.8,47.32,47.71
112,118,2143,4096,52.32,-1.6,-1.6,-1.6,-1.6
113,-180,361,4096,8.81,38.6,41.5,39.31,39.07
113,-181,3906,4096,95.36,39.5,43.6,40.87,40.89
113,117,410,4096,10.01,-1.6,-0.9,-1.6,-1.6
113,118,3947,4096,96.36,-1.6,-1.6,-1.6,-1.6
114,-180,3525,4096,86.06,38.7,40.7,39.29,39.5
114,117,2181,4096,53.25,-1.6,-1.6,-1.6,-1.6
115,-179,41,4096,1.0,40.6,44.6,43.0,43.96
115,-180,4061,4096,99.15,40.7,44.4,41.87,42.08
115,116,210,4096,5.13,-1.6,-0.7,-1.59,-1.6
115,117,3840,4096,93.75,-1.6,-1.6,-1.6,-1.6
116,-177,380,4096,9.28,42.3,44.2,42.81,42.73
116,-178,1310,4096,31.98,42.9,44.2,43.63,43.56
116,-179,2490,4096,60.79,44.0,44.6,44.51,44.48
116,116,1815,4096,44.31,-1.6,-1.6,-1.6,-1.6
117,-172,385,4096,9.4,35.4,38.0,36.9,36.9
117,-173,38,4096,0.93,35.1,36.8,35.81,35.58
117,-174,437,4096,10.67,36.3,40.6,38.5,38.02
117,-175,1771,4096,43.24,39.4,41.2,40.38,40.31
117,-176,3117,4096,76.1,40.7,42.7,41.84,41.64
117,-177,4057,4096,99.05,42.2,42.4,42.3,42.27
117,116,3404,4096,83.11,-1.6,-1.6,-1.6,-1.6
118,-170,729,4096,17.8,41.7,44.4,43.36,43.55
118,-171,3494,4096,85.3,37.8,42.2,40.33,40.17
118,-173,3912,4096,95.51,35.4,36.5,36.11,36.03
118,-174,4070,4096,99.37,36.2,36.5,36.33,36.33
118,115,565,4096,13.79,-1.6,-1.6,-1.6,-1.6
118,116,4094,4096,99.95,-1.6,-1.6,-1.6,-1.6
119,-170,2425,4096,59.2,37.4,43.2,41.58,41.4
119,115,2057,4096,50.22,-1.6,-1.6,-1.6,-1.6
120,-169,190,4096,4.64,27.5,37.9,31.27,30.32
120,-170,3888,4096,94.92,32.4,39.4,36.16,36.02
120,114,94,4096,2.29,-1.6,-1.6,-1.6,-1.6
120,115,3699,4096,90.31,-1.6,-1.6,-1.6,-1.6
121,-169,1549,4096,37.82,21.9,28.9,25.93,26.68
121,114,1421,4096,34.69,-1.6,-1.6,-1.6,-1.6
122,-169,3047,4096,74.39,14.9,24.0,19.28,19.08
122,114,3133,4096,76.49,-1.6,-1.6,-1.6,-1.6
123,-168,587,4096,14.33,9.0,18.7,14.74,14.73
123,-169,4073,4096,99.44,14.4,15.2,14.66,14.64
123,113,704,4096,17.19,-1.6,-1.6,-1.6,-1.6
124,-168,2287,4096,55.83,3.8,12.3,7.13,7.72
124,113,2225,4096,54.32,-1.6,-1.6,-1.6,-1.6
125,-167,102,4096,2.49,2.9,4.5,3.49,3.3
125,-168,3804,4096,92.87,3.3,4.0,3.71,3.59
125,112,57,4096,1.39,-1.6,-1.6,-1.6,-1.6
125,113,3697,4096,90.26,-1.6,-1.6,-1.6,-1.6
126,-168,1288,4096,31.45,3.2,3.5,3.3,3.3
126,112,1170,4096,28.56,-1.6,-1.6,-1.6,-1.6
127,-168,1700,4096,41.5,-1.6,3.5,1.17,1.64
127,112,2714,4096,66.26,-1.6,-1.6,-1.6,-1.6
128,-168,3108,4096,75.88,2.3,4.9,3.88,3.82
128,111,266,4096,6.49,-1.6,-1.6,-1.6,-1.6
129,-167,459,4096,11.21,4.2,5.7,4.71,4.8
129,-168,4070,4096,99.37,4.7,4.9,4.82,4.83
129,111,1644,4096,40.14,-1.6,-1.6,-1.6,-1.6
130,-167,1830,4096,44.68,5.0,7.4,6.62,6.4
130,100,1272,4096,31.05,-1.6,-1.6,-1.6,-1.6
130,101,1325,4096,32.35,-1.6,-1.6,-1.6,-1.6
130,102,1378,4096,33.64,-1.6,-1.6,-1.6,-1.6
130,103,1431,4096,34.94,-1.6,4.0,-0.57,0.3
130,104,1485,4096,36.25,-1.6,6.2,2.36,3.21
130,105,1538,4096,37.55,1.6,2.3,1.98,1.98
130,106,1600,4096,39.06,1.6,2.9,2.26,2.32
130,107,1655,4096,40.41,1.4,3.8,2.76,2.56
130,108,1708,4096,41.7,2.7,4.7,3.7,3.48
130,109,1761,4096,42.99,-1.6,4.4,0.24,-0.36
130,110,1814,4096,44.29,-1.6,-1.6,-1.6,-1.6
130,111,3371,4096,82.3,-1.6,-1.6,-1.6,-1.6
130,77,7,4096,0.17,0.2,3.1,1.38,0.72
130,78,64,4096,1.56,0.2,3.0,1.41,1.39
130,79,124,4096,3.03,0.6,3.1,1.55,2.39
130,80,177,4096,4.32,0.6,2.9,1.22,1.53
130,81,230,4096,5.62,-0.4,1.7,0.62,1.08
130,82,283,4096,6.91,-0.6,2.5,0.76,0.9
130,83,337,4096,8.23,-0.9,2.7,1.26,0.49
130,84,390,4096,9.52,0.0,2.4,1.39,0.7
130,85,448,4096,10.94,0.7,2.5,1.62,1.52
130,86,507,4096,12.38,1.2,2.8,1.8,1.9
130,87,560,4096,13.67,0.5,2.9,1.83,1.62
130,88,613,4096,14.97,-1.6,2.1,0.84,-0.38
130,89,666,4096,16.26,-1.6,1.6,-0.28,-1.55
130,90,719,4096,17.55,-1.6,2.1,-0.35,-1.6
130,91,772,4096,18.85,-1.6,2.4,-0.45,-1.11
130,92,832,4096,20.31,-1.6,2.2,-0.43,-1.6
130,93,890,4096,21.73,-1.6,2.7,-1.06,-1.6
130,94,943,4096,23.02,-1.6,2.4,-1.48,-1.6
130,95,996,4096,24.32,-1.6,-1.6,-1.6,-1.6
130,96,1049,4096,25.61,-1.6,-1.6,-1.6,-1.6
130,97,1102,4096,26.9,-1.6,-1.6,-1.6,-1.6
131,-167,3188,4096,77.83,4.0,7.0,5.7,5.54
132,-166,550,4096,13.43,2.7,11.6,7.58,8.19
132,-167,4081,4096,99.63,4.0,4.4,4.07,4.15
133,-108,1960,4096,47.85,-0.7,6.8,3.17,2.01
133,-109,2059,4096,50.27,-0.7,5.7,3.49,2.1
133,-110,2005,4096,48.95,4.2,6.2,5.43,5.03
133,-111,1951,4096,47.63,2.0,6.5,4.51,3.44
133,-112,1897,4096,46.31,-1.6,4.6,1.66,-0.6
133,-113,1843,4096,45.0,-1.6,2.7,-1.45,-1.6
133,-114,1789,4096,43.68,-1.6,-1.6,-1.6,-1.6
133,-115,1728,4096,42.19,-1.6,-1.6,-1.6,-1.6
133,-116,1671,4096,40.8,-1.6,-1.6,-1.6,-1.6
133,-117,1617,4096,39.48,-1.6,-1.6,-1.6,-1.6
133,-118,1563,4096,38.16,-1.6,-1.6,-1.6,-1.6
133,-119,1509,4096,36.84,-1.6,-1.6,-1.6,-1.6
133,-120,1455,4096,35.52,-1.6,0.4,-1.58,-1.6
133,-121,1401,4096,34.2,-1.6,-0.6,-1.58,-1.6
133,-122,1344,4096,32.81,-1.6,-1.6,-1.6,-1.6
133,-123,1283,4096,31.32,-1.6,-1.6,-1.6,-1.6
133,-124,1229,4096,30.0,-1.6,6.6,1.36,0.85
133,-125,1175,4096,28.69,-1.6,6.8,3.22,1.98
133,-126,1121,4096,27.37,-1.6,4.5,0.85,-0.7
133,-127,1067,4096,26.05,-1.6,1.9,-1.59,-1.6
133,-128,1013,4096,24.73,-1.6,-1.6,-1.6,-1.6
133,-129,959,4096,23.41,-1.6,-1.6,-1.6,-1.6
133,-130,896,4096,21.88,-1.6,-1.6,-1.6,-1.6
133,-142,236,4096,5.76,-1.6,7.0,1.54,1.78
133,-143,182,4096,4.44,0.9,8.9,4.52,4.07
133,-144,128,4096,3.12,0.9,7.3,5.08,5.99
133,-145,64,4096,1.56,-0.5,10.6,4.95,8.85
133,-146,9,4096,0.22,-0.5,8.8,3.37,5.69
133,-166,1969,4096,48.07,10.2,27.1,21.18,19.98
134,-108,3843,4096,93.82,-1.6,2.8,-1.15,-1.15
134,-149,3943,4096,96.26,0.8,2.3,1.42,1.42
134,-150,3889,4096,94.95,-0.1,1.3,0.94,0.93
134,-151,3835,4096,93.63,0.9,1.3,1.23,1.22
134,-152,3776,4096,92.19,0.5,1.3,1.13,1.15
134,-153,3717,4096,90.75,1.0,4.3,2.57,2.48
134,-154,3662,4096,89.4,3.8,5.4,4.75,4.74
134,-155,3608,4096,88.09,3.7,6.3,4.95,5.37
134,-156,3554,4096,86.77,3.5,5.6,4.45,5.21
134,-157,3500,4096,85.45,4.1,9.5,6.79,7.54
134,-158,3446,4096,84.13,8.1,13.8,10.61,11.14
134,-159,3392,4096,82.81,12.3,21.8,16.33,17.78
134,-160,3328,4096,81.25,17.6,21.9,20.7,21.45
134,-161,3273,4096,79.91,19.4,23.0,21.16,21.58
134,-162,3219,4096,78.59,20.5,24.8,22.36,22.66
134,-163,3165,4096,77.27,20.9,25.8,23.07,23.54
134,-164,3111,4096,75.95,22.3,27.8,25.2,26.04
134,-165,3057,4096,74.63,25.1,28.2,27.37,27.49
134,-166,3701,4096,90.36,26.0,27.7,27.3,27.26
135,-108,3904,4096,95.31,-1.6,2.2,-0.68,-0.71
136,-108,3961,4096,96.7,0.1,4.3,2.32,2.39
137,-108,4016,4096,98.05,3.0,4.6,3.82,3.77
137,53,1978,4096,48.29,2.4,3.8,3.09,3.45
138,-108,4071,4096,99.39,-1.6,3.1,0.19,-0.35
138,53,1920,4096,46.88,2.4,3.7,2.87,2.79
139,-107,29,4096,0.71,-1.6,-1.6,-1.6,-1.6
139,53,1859,4096,45.39,2.5,3.7,3.25,3.25
140,-107,84,4096,2.05,-1.6,-1.6,-1.6,-1.6
140,53,1804,4096,44.04,2.7,3.9,3.22,3.15
141,53,1750,4096,42.72,3.0,4.4,3.73,3.41
142,53,1695,4096,41.38,2.8,4.1,3.6,3.44
143,53,1640,4096,40.04,2.2,4.3,3.44,3.52
144,53,1584,4096,38.67,-3.8,4.8,1.99,2.36
145,53,1529,4096,37.33,-1.5,7.0,2.23,-0.87
146,53,1472,4096,35.94,-1.6,5.0,1.28,-0.74
147,53,1410,4096,34.42,-0.3,7.9,2.21,2.35
148,53,1354,4096,33.06,1.6,8.6,3.25,5.13
149,53,1299,4096,31.71,2.2,7.2,3.56,3.54
150,53,1243,4096,30.35,2.9,6.0,3.98,4.35
151,-91,12,4096,0.29,-1.6,-1.6,-1.6,-1.6
151,-92,729,4096,17.8,-1.6,-1.6,-1.6,-1.6
151,-93,1847,4096,45.09,-1.6,-1.6,-1.6,-1.6
151,53,1187,4096,28.98,2.9,7.5,4.16,4.54
152,53,1131,4096,27.61,2.8,10.3,4.59,3.95
153,53,1075,4096,26.25,3.0,5.0,3.86,3.58
154,53,1019,4096,24.88,3.2,5.9,3.83,3.83
155,53,960,4096,23.44,2.4,5.0,3.87,4.01
156,53,899,4096,21.95,3.1,5.2,3.85,3.67
157,-84,422,4096,10.3,-1.6,-1.6,-1.6,-1.6
157,53,843,4096,20.58,2.3,5.3,3.91,3.76
158,-83,2,4096,0.05,-1.6,-1.6,-1.6,-1.6
158,-84,2864,4096,69.92,-1.6,-1.6,-1.6,-1.6
158,53,787,4096,19.21,2.0,3.9,3.13,3.49
159,-83,1290,4096,31.49,-1.6,-1.6,-1.6,-1.6
159,53,730,4096,17.82,2.5,3.7,3.21,3.2
160,-82,277,4096,6.76,-1.6,-1.6,-1.6,-1.6
160,-83,3250,4096,79.35,-1.6,-1.6,-1.6,-1.6
160,53,674,4096,16.46,2.8,3.5,3.08,3.2
161,-80,338,4096,8.25,-1.6,-1.6,-1.6,-1.6
161,-81,2157,4096,52.66,-1.6,-1.6,-1.6,-1.6
161,-82,3875,4096,94.6,-1.6,-1.6,-1.6,-1.6
161,53,617,4096,15.06,2.6,3.2,2.99,2.9
162,-73,376,4096,9.18,-1.6,-1.6,-1.6,-1.6
162,-78,244,4096,5.96,-1.6,-1.6,-1.6,-1.6
162,-79,2108,4096,51.46,-1.6,-1.6,-1.6,-1.6
162,-80,3893,4096,95.04,-1.6,-1.6,-1.6,-1.6
162,53,560,4096,13.67,2.0,3.3,2.81,2.95
163,-71,308,4096,7.52,-1.6,-1.6,-1.6,-1.6
163,-72,2724,4096,66.5,-1.6,-1.6,-1.6,-1.6
163,-73,3470,4096,84.72,-1.6,-1.6,-1.6,-1.6
163,-74,115,4096,2.81,-1.6,-1.6,-1.6,-1.6
163,-75,330,4096,8.06,-1.6,-1.1,-1.6,-1.6
163,-76,1428,4096,34.86,-1.6,-1.6,-1.6,-1.6
163,-77,2553,4096,62.33,-1.6,-1.6,-1.6,-1.6
163,-78,3814,4096,93.12,-1.6,-1.6,-1.6,-1.6
163,53,503,4096,12.28,2.2,3.1,2.76,2.75
163,74,4017,4096,98.07,-1.5,-1.5,-1.5,-1.5
164,-70,1247,4096,30.44,-1.6,-1.6,-1.6,-1.6
164,-74,3835,4096,93.63,-1.6,-1.6,-1.6,-1.6
164,-75,4068,4096,99.32,-1.6,-1.6,-1.6,-1.6
164,73,3800,4096,92.77,-1.5,-1.5,-1.5,-1.5
164,74,700,4096,17.09,-1.5,-1.2,-1.5,-1.5
164,79,1140,4096,27.83,-1.5,3.5,0.3,0.33
164,80,1976,4096,48.24,-1.5,0.5,-0.92,-1.02
164,81,3616,4096,88.28,-0.1,0.8,0.08,0.17
165,-68,277,4096,6.76,-1.6,-1.6,-1.6,-1.6
165,-69,2589,4096,63.21,-1.6,-1.6,-1.6,-1.6
165,-70,4094,4096,99.95,-1.6,-1.6,-1.6,-1.6
165,72,3987,4096,97.34,-1.5,-1.5,-1.5,-1.5
165,73,996,4096,24.32,-1.5,-1.5,-1.5,-1.5
165,81,539,4096,13.16,-0.1,1.6,0.9,0.98
165,82,2525,4096,61.65,0.4,1.6,1.08,1.13
165,83,3865,4096,94.36,1.4,1.4,1.4,1.4
166,-66,255,4096,6.23,-1.6,-1.6,-1.6,-1.6
166,-67,1656,4096,40.43,-1.6,-1.6,-1.6,-1.6
166,-68,3684,4096,89.94,-1.6,-1.6,-1.6,-1.6
